cluster_ids	ids	response	scaled_scores	s1_score_scaled	s3_score_scaled	s1_score	s3_score	sentences				
177	182025	'2'	-1.15	-1.7	-0.6	'2'	'2'	"Sull altro versante, da Vienna si insisteva con Gyulai per una condotta più energica."	3	29		
178	181388	'5'	0.35	1.3	-0.6	'5'	'2'	La guerra contro le tribù germaniche degli anni precedenti ne aveva solo ritardato i piani.	4	29		
179	184453	'4'	0.35	0.3	0.4	'4'	'3'	Il 23 agosto 1179 Saladino giunse al Guado di Giacobbe e diede inizio all assedio.	5	29		
180	180344	'1'	-0.65	-2.7	1.4	'1'	'4'	"Giovanni occupava il tempio ed i dintorni, compreso l<nowiki> </nowiki>""Ophel"" e la valle del Cedron."	6	29		
181	183987	'5'	0.85	1.3	0.4	'5'	'3'	"Tre settimane dopo, invece, avvenne il secondo scontro nel quale Bruto fu rovinosamente battuto."	1	30		
182	181908	'4'	-0.15	0.3	-0.6	'4'	'2'	"I tedeschi, riconoscendo l indifendibilità della propria posizione, si ritirarono dalla Marna verso nord."	2	30		
183	189748	'4'	-0.15	0.3	-0.6	'4'	'2'	"Infine, Belisario diventa generale nell esercito di Padway e gli assicura il controllo dell Italia."	3	30		
184	189842	'5'	-0.15	1.3	-1.6	'5'	'1'	Ricevette il brevetto di sottotenente dell Esercito degli Stati Uniti il 1o luglio del 1830.	4	30		
185	188343	'5'	-0.15	1.3	-1.6	'5'	'1'	Si arruolò come soldato nel 44° Reggimento di linea allo scoppio della guerra franco-prussiana.	5	30		
186	190101	'5'	-0.15	1.3	-1.6	'5'	'1'	A causa della gravissima ferita fu posto in congedo assoluto il 15 gennaio 1918	6	30		
187	186697	'4'	-0.15	0.3	-0.6	'4'	'2'	"Nel 1934, prese parte alla notte dei lunghi coltelli contro le ""Sturmabteilung"" di Ernst Röhm."	MilitaryPerson	31		
188	186062	'3'	-0.65	-0.7	-0.6	'3'	'2'	"Novák, tuttavia, respinse l offerta e insieme a molti altri aviatori cecoslovacchi fuggì all estero."	MilitaryPerson	31		
189	192890	'5'	0.85	1.3	0.4	'5'	'3'	"Il 28 agosto, la brigata venne trasferita in Estonia, nella zona del lago Peipus."	MilitaryUnit	31		
190	197358	'3'	-0.15	-0.7	0.4	'3'	'3'	"Con la totale indipendenza norvegese,venne approvata una legislazione rafforzante del sistema introdotto nel 1885."	MilitaryUnit	31		
191	197578	'4'	0.85	0.3	1.4	'4'	'4'	Con decreto del 12 novembre 1976 al battaglione fu assegnata la Bandiera di Guerra.	MilitaryUnit	31		
192	192449	'4'	0.35	0.3	0.4	'4'	'3'	"I ""manipoli"" erano unità di 60/120 uomini, tutti provenienti da una medesima classe di fanteria."	MilitaryUnit	31		
193	197558	'2'	-1.15	-1.7	-0.6	'2'	'2'	Il XIV SS-Armeekorps fu un unità militare formata nel novembre del 1944 nell Oberrhein.	MilitaryUnit	31		
194	195644	'4'	0.35	0.3	0.4	'4'	'3'	In agosto la Volkspolizei fu posta sotto il comando del ministro dell interno tedesco.	MilitaryUnit	31		
195	195541	'2'	-0.65	-1.7	0.4	'2'	'3'	"Panzer-Division nasce ufficialmente il 18 ottobre 1939 a Wuppertal in Vestfalia, da elementi della 1."	MilitaryUnit	31	1	
196	198878	'3'	0.35	-0.7	1.4	'3'	'4'	"La ferrorhodsite è un minerale appartenente al gruppo della linnaeite, ha struttura analoga alla cuprorhodsite."	1	32		
197	201755	'5'	0.85	1.3	0.4	'5'	'3'	La bukovskýite è un minerale che prende il nome dal chimico ceco Antonin Bukovsky .	2	32		
198	202426	'4'	0.85	0.3	1.4	'4'	'4'	Il nome è in riferimento alla composizione chimica: è un minerale con prevalenza di cerio.	3	32		
199	200003	'3'	-0.15	-0.7	0.4	'3'	'3'	"Inoltre la calcopirite è rinvenuta in gran quantità, raramente in forma cristallina, e meno fragile."	4	32		
200	199805	'5'	0.35	1.3	-0.6	'5'	'2'	"Il nome del minerale è stato attribuito in onore di Pavel Ivanovich Stepanov, geologo russo."	5	32		
201	201094	'4'	0.35	0.3	0.4	'4'	'3'	"La fullerite ultradura C ha una durezza molto elevata, superiore a quella del diamante."	6	32		
202	208448	'5'	0.35	1.3	-0.6	'5'	'2'	"In mancanza di eredi, gli successe come era facile prevedere, il fratello minore Leopoldo."	1	33		
203	209601	'3'	-0.65	-0.7	-0.6	'3'	'2'	"Il giovane re divenne succube del ""Phraya Kalahom"" e fu assassinato nell agosto del 1629."	2	33		
204	207609	'2'	-1.15	-1.7	-0.6	'2'	'2'	"Tipu inviò una lettera il 19 gennaio 1790 al governatore di Bekal, Budruz Zuman Khan."	3	33		
205	205859	'2'	0.35	-1.7	2.4	'2'	'5'	"Dopo la morte di Vittorio, sposò io 15 febbraio 1813 il barone Federico di Stein-Liebenstein-Barchfeld"	4	33		
206	208696	'2'	-1.15	-1.7	-0.6	'2'	'2'	Aldobrandino d Este dopo la morte del padre ereditò il titolo di signore di Ferrara.	5	33		
207	209239	'4'	-0.15	0.3	-0.6	'4'	'2'	È per questo motivo che questo clan ancora oggi in Burundi ha una pessima considerazione.	6	33		
208	205145	'5'	0.85	1.3	0.4	'5'	'3'	"Fu la prima volta che l istituto del ""Palazzo Davanti"" arrivò a tanto potere."	Monarch	34		
209	205505	'5'	-0.15	1.3	-1.6	'5'	'1'	"Morì di leucemia nella capitale egiziana nell autunno del 1988, all età di 67 anni."	Monarch	34		
210	208695	'5'	-0.15	1.3	-1.6	'5'	'1'	"Il coimperatore, infatti, non volle mai consumare il matrimonio perché riteneva Sofia troppo brutta."	Monarch	34	-3	
211	211665	'4'	0.35	0.3	0.4	'4'	'3'	"È ottavo nel 1998 e ancora nono l anno successivo, con una Yamaha YZF-R6."	MotocycleRider	35		
212	214802	'4'	-0.65	0.3	-1.6	'4'	'1'	Nel 2003 si presenta al Campionato Italiano Velocità Superstock 1000 come campione in carica.	MotocycleRider	35		
213	214815	'4'	0.35	0.3	0.4	'4'	'3'	"È ricordato come uno dei padri fondatori della specialità, avendo anche vinto cinque titoli francesi."	MotocycleRider	35		
214	215833	'3'	-1.15	-0.7	-1.6	'3'	'1'	Nel 2016 è nello stesso team con un nuovo compagno di squadra: Franco Morbidelli.	MotocycleRider	35		
215	213386	'5'	0.85	1.3	0.4	'5'	'3'	"Gareggiò poi nel Motomondiale, in varie classi fino al termine della stagione vittoriosa del 1955."	MotocycleRider	35		
216	215464	'3'	0.35	-0.7	1.4	'3'	'4'	"Il 1969 vede il centauro ternano Campione Italiano Juniores della 250, sempre con una MotoBi."	MotocycleRider	35		
217	214057	'5'	0.85	1.3	0.4	'5'	'3'	"In quella stagione si classificò quarto nella classifica finale del motomondiale, sua migliore prestazione ."	MotocycleRider	35	1	
218	218537	'3'	0.35	-0.7	1.4	'3'	'4'	Nel seguente elenco sono riportati gli altri eventi più significativi riguardanti il Cho Oyu.		36		
219	217896	'3'	-0.65	-0.7	-0.6	'3'	'2'	Sotto la vetta sono evidenti i resti del presidio austriaco della prima guerra mondiale.		36		
220	216714	'5'	0.35	1.3	-0.6	'5'	'2'	La vetta del Nelion fu scalata la prima volta da Eric Shipton nel 1929.		36		
221	218773	'4'	0.35	0.3	0.4	'4'	'3'	Il monte è collocato a nord-est di Cortina d Ampezzo e ad ovest di Misurina.		36		
222	220533	'3'	-0.15	-0.7	0.4	'3'	'3'	"Nei pressi del ""Mönchjoch"", valico che lo separa dal Mönch si trova la Mönchsjochhütte."		36		
223	218296	'5'	-0.15	1.3	-1.6	'5'	'1'	"In realtà la vetta più alta è il monte Popomanaseu, che tocca quota 2335 metri."		36		
224	223085	'3'	-0.65	-0.7	-0.6	'3'	'2'	Il museo si trova in quella che un tempo era la centrale termoelettrica di Bankside .	Museum	37		
225	225850	'5'	0.35	1.3	-0.6	'5'	'2'	Nel corso degli anni altre opere sono state accolte e esposte all interno del museo.	Museum	37		
226	225952	'2'	-0.65	-1.7	0.4	'2'	'3'	Il progetto museografico è elaborato personalmente da Depero tra il 1957 e il 1959.	Museum	37		
227	224691	'5'	-0.15	1.3	-1.6	'5'	'1'	La produzione della miniera oscillava tra le 56 e le 84 tonnellate di rame.	Museum	37		
228	225351	'2'	-0.65	-1.7	0.4	'2'	'3'	"Negli anni 1983-1984 l esposizione venne riallestita, mutando e migliorando il percorso logico espositivo."	Museum	37	-1	
229	228218	'4'	-0.15	0.3	-0.6	'4'	'2'	"Con ""My Chico"" al ""Festivalbar 1988"" venne premiata come ""Migliore Cantante Europea"" dell anno."		38		
230	231994	'5'	0.85	1.3	0.4	'5'	'3'	"Peraza si esibì in tutti i locali delle zone circostanti, tra cui nel Manhole Shelley ."		38		
231	231272	'3'	0.35	-0.7	1.4	'3'	'4'	Questo procurò alla band un tour in Europa insieme ai Gothminister come band di supporto.		38		
232	228368	'4'	0.85	0.3	1.4	'4'	'4'	"Con l aiuto del padre ha aperto un ristorante in Odaiba, Tokyo chiamato "" Kamei-do""."		38		
233	230429	'5'	0.35	1.3	-0.6	'5'	'2'	"Per l occasione Fukuyama forma un duo musicale con il coprotagonista di ""Galileo"", Kou Shibasaki."		38		
234	231711	'4'	-0.15	0.3	-0.6	'4'	'2'	Per un periodo visse nella stessa pensione con Albert Ammons e Meade Lux Lewis.		38		
235	236120	'4'	0.35	0.3	0.4	'4'	'3'	"Simile all early happy hardcore, definita da un battito più leggero e sonorità rave."		39		
236	237894	'4'	-0.65	0.3	-1.6	'4'	'1'	"Questi nuovi complessi incorporavano gli elementi più commerciali di alternative rock, emo e post-hardcore."		39		
237	238794	'4'	-0.65	0.3	-1.6	'4'	'1'	La Frenchcore è un sottogenere musicale molto veloce e ritmato proposto soprattutto in Francia.		39		
238	237999	'2'	-0.15	-1.7	1.4	'2'	'4'	Originatori di questa tendenza sono stati probabilmente gli statunitensi Impetigo insieme ai conterranei Meat Shits.		39		
239	234134	'3'	-0.15	-0.7	0.4	'3'	'3'	Il dansi si può considerare derivato dalla rumba congolese degli anni 30 e sessanta.		39		
240	239655	[]	0.4		0.4	[]	'3'	L intero genere può creare diversi sottogeneri grazie alla sua combinazione fra ritmo e armonia.		39		
241	245685	'4'	0.35	0.3	0.4	'4'	'3'	"Pohl scrisse egli stesso molte storie, per riempire la rivista e aumentare il suo stipendio."		40		
242	241542	'2'	-1.15	-1.7	-0.6	'2'	'2'	"Nell ultimo numero c è un ""Referendum"" sullo stato di salute della rivista stessa ."		40		
243	240966	'4'	0.35	0.3	0.4	'4'	'3'	"Alla fine dell anno avviene la defezione di Prezzolini, che si trasferisce a Roma."		40		
244	244328	'3'	-0.65	-0.7	-0.6	'3'	'2'	"Il giornale venne venduto a Hearst Corporation nel 1972, che pubblicava il rivale ""American Record""."		40		
245	241225	'5'	0.35	1.3	-0.6	'5'	'2'	Negli anni novanta la rivista continuò ad essere un punto di riferimento del settore.		40		
246	243446	'3'	-0.15	-0.7	0.4	'3'	'3'	"Con questa squadra, trasformò le pagine di ""Vogue"" in un grande spettacolo artistico e sofisticato."		40		
247	249372	'3'	-1.15	-0.7	-1.6	'3'	'1'	"Nel maggio 1970 Colonna di Paliano divenne presidente della catena di grandi magazzini ""La Rinascente""."	Politician	41		
248	246941	'5'	1.35	1.3	1.4	'5'	'4'	Ciò rese l Estonia il primo paese ad avere relazioni con i sovietici bolscevichi.	Politician	41		
249	248405	'4'	0.35	0.3	0.4	'4'	'3'	"L anno dopo fu al servizio della Spagna, per cui combatté in diverse battaglie."	Politician	41		
250	250407	'2'	-0.65	-1.7	0.4	'2'	'3'	"Scrisse anche un contributo per la bibliografia del parlamento:""Perplessità e riserve sulla riforma dei bilanci""."	Politician	41		
251	250187	'4'	-0.15	0.3	-0.6	'4'	'2'	"Era il figlio di Henry Brand, I visconte Hampden, e di sua moglie, Eliza Ellice."	Politician	41		
252	247212	'5'	0.35	1.3	-0.6	'5'	'2'	Abelli è stato capogruppo di Forza Italia nel consiglio regionale della Lombardia dal 2005.	Politician	41		
253	251488	'5'	0.85	1.3	0.4	'5'	'3'	"Eletto deputato all Assemblée nationale nel 1993, è il deputato più giovane della legislatura."	Politician	41		
254	246219	'4'	0.35	0.3	0.4	'4'	'3'	"C., riuscì ad impadronirsi di Argo, che si era ribellata all arrivo delle truppe macedoni."	Politician	41		
255	247031	'4'	-0.65	0.3	-1.6	'4'	'1'	"Il mandato terminò tuttavia pochi mesi dopo, a causa della vittoria elettorale della CDU."	Politician	41	3	
256	257938	'4'	-0.15	0.3	-0.6	'4'	'2'	"Il distretto di Yaurisque è uno dei nove distretti della provincia di Paruro, in Perù."	PopulatedPlace	42		
257	256044	'3'	-1.15	-0.7	-1.6	'3'	'1'	"Secondo lo United States Census Bureau, ha un area totale di 1,00 miglia quadrate ."	PopulatedPlace	42		
258	255497	'3'	0.85	-0.7	2.4	'3'	'5'	"Csáfordjánosfa è un comune di 244 abitanti situato nella provincia di Győr-Moson-Sopron, nell Ungheria nordoccidentale."	PopulatedPlace	42		
259	254598	'3'	-0.7	-0.7		'3'	[]	"L abitato venne fondato dai fratelli Pancracio, Nicolás, Ezequiel e Sinforoso Vargas nel 1794."	PopulatedPlace	42		
260	256087	'4'	0.85	0.3	1.4	'4'	'4'	Appartiene al circondario di Bad Kreuznach ed è parte della comunità amministrativa di Kirn-Land.	PopulatedPlace	42	-1	
261	259774	'4'	0.35	0.3	0.4	'4'	'3'	"Anche nell inverno 2008-2009 partecipa alla GP2 Asia, vincendola, e nel 2009 al campionato GP2."		43		
262	258585	'4'	-0.15	0.3	-0.6	'4'	'2'	La Tyrrell fa nuovamente doppietta nel Gran Premio di Germania al Nürburgring il 1o agosto.		43		
263	258469	'5'	0.85	1.3	0.4	'5'	'3'	Suo figlio Tim è stato anche un pilota di Formula 1 con scarsa fortuna.		43		
264	258896	'5'	0.85	1.3	0.4	'5'	'3'	Il 1997 cominciò con le premesse del 1996 ed ebbe le stesse conclusioni deludenti.		43		
265	259710	'5'	0.35	1.3	-0.6	'5'	'2'	"Il 1968 fu, invece, un anno tormentato sia per il pilota, che per la scuderia."		43		
266	263629	'5'	0.85	1.3	0.4	'5'	'3'	Nei giorni seguenti Rosberg si scusò pubblicamente con Hamilton prendendosi la responsabilità per la collisione.		43		
267	264335	'5'	-0.15	1.3	-1.6	'5'	'1'	"La stazione risulta essere molto trafficata, vista la sua popolarità tra i pendolari della zona."	Station	44		
268	267289	'5'	0.85	1.3	0.4	'5'	'3'	Dal 15 dicembre 2013 la stazione è fornita da un sottopassaggio munito di ascensori.	Station	44		
269	269233	'5'	0.85	1.3	0.4	'5'	'3'	"La stazione è stata inaugurata in concomitanza con la ferrovia, il 10 agosto 1924."	Station	44		
270	264270	'4'	-0.15	0.3	-0.6	'4'	'2'	Globalmente la stazione possiede due ingressi a cui si aggiungono tre accessi diretti ai binari.	Station	44		
271	273798	'5'	0.35	1.3	-0.6	'5'	'2'	Sopra l altare è posta una copia della Vergine nera di Częstochowa risalente al 1720.	Station	44	-1	
272	270967	'5'	0.85	1.3	0.4	'5'	'3'	"La richiesta viene accolta, ma non sarà poi messa in pratica, probabilmente per motivi economici."		45		
273	273085	'4'	-0.15	0.3	-0.6	'4'	'2'	"Le pareti eran ricoperte da immagine votive, tranne il presbiterio che fu affrescato nel 1700 ."		45		
274	272889	'4'	0.35	0.3	0.4	'4'	'3'	Nel 1985 la sinagoga fu chiusa e cominciarono lunghi anni di abbandono e furti.		45		
275	273278	'5'	-0.15	1.3	-1.6	'5'	'1'	Notevole è l apparato decorativo delle sei cappelle che si aprono sulla sinistra della chiesa.		45		
276	270196	'4'	-0.15	0.3	-0.6	'4'	'2'	"Il campanile è una torre pendente: è infatti inclinato di circa 1,4° in direzione Est-Sud-Est ."		45		
277	272400	[]	0.4		0.4	[]	'3'	"Nel 1927 venne ripristinata la facciata, che riflette le linee del sezionamento delle navate."		45		
278	280438	'4'	0.35	0.3	0.4	'4'	'3'	Scorre poi lungo il confine con Meduna di Livenza e la provincia di Treviso.	River	46		
279	276352	'2'	-1.15	-1.7	-0.6	'2'	'2'	Il Cando o Rio Cando è un piccolo torrente della Repubblica di San Marino.	River	46		
280	280187	'3'	-0.15	-0.7	0.4	'3'	'3'	"Più a valle sbocca nel Cigüela , da sinistra, molto vicino agli Ojos del Guadiana ."	River	46		
281	277219	'3'	-0.15	-0.7	0.4	'3'	'3'	"Dopo 104 km di corso il fiume sfocia nel Jijia, vicino alla città di Chiperești."	River	46		
282	279836	'4'	0.85	0.3	1.4	'4'	'4'	"La Bol šaja è un fiume della Russia europea meridionale , affluente di sinistra della Kalitva ."	River	46		
283	279151	'5'	0.35	1.3	-0.6	'5'	'2'	Il fiume ha una portata d acqua tra i 2 ed i 1500 m3/s.	River	46		
284	282905	'5'	-0.15	1.3	-1.6	'5'	'1'	Le dimensioni della carreggiata sono poco più ampie di quelle di una normale strada statale.	River	46	1	
285	286168	'2'	-0.65	-1.7	0.4	'2'	'3'	Il tracciato prosegue fino al raggiungimento del litorale che costeggia ininterrottamente fino al suo termine.		47		
286	283488	'4'	-0.15	0.3	-0.6	'4'	'2'	"Il rimanente tratto, da Rezzato a Limone sul Garda, è invece rimasto all ANAS."		47		
287	282532	'4'	-0.15	0.3	-0.6	'4'	'2'	"Superato lo svincolo di Cosenza, l autostrada attraversa le varie montagne in direzione Altilia."		47		
288	285081	'4'	0.35	0.3	0.4	'4'	'3'	"È parte dell itinerario che congiunge Berlino alla Slesia, proseguendo in territorio polacco come A18."		47		
289	287529	'3'	-0.65	-0.7	-0.6	'3'	'2'	La strada ha origine dallo svincolo di Castellammare del Golfo sull A29 Palermo-Mazara del Vallo.		47	-1	
290	291428	'2'	-1.15	-1.7	-0.6	'2'	'2'	Processione di San Ferdinando D Aragona con le reliquie per le vie di Alvignano		48		
291	290022	'1'	-2.7	-2.7		'1'	'e'	"I successivi miracoli sono indicati nella lista dei capitoli all"" Historia Miraculorum"" della ""Vita II""."		48		
292	288214	'3'	0	-0.7	-1.6	'3'	'1'	Ben presto incominciarono a circolare voci sulla sua intensa fede e si parlava di miracoli.		48		
293	291374	'5'	0.35	1.3	-0.6	'5'	'2'	"Le reliquie di San Claudio vennero arse nel marzo 1794, durante la Rivoluzione Francese."		48		
294	293764	'4'	-0.15	0.3	-0.6	'4'	'2'	Sempre il 25 ottobre viene festeggiato a Monti di cui è anche Santo patrono.		48	-1	
295	296646	'1'	-1.15	-2.7	0.4	'1'	'3'	"Il 24 marzo un convoglio entra nel campo, con la perdita dei cacciatorpediniere e ."	Ship	49		
296	297610	'2'	-1.15	-1.7	-0.6	'2'	'2'	"Mentre transitava nel canale Kaiser Wilhelm il 14 marzo 1917, la ""Kaiserin"" si arenò."	Ship	49		
297	299168	'1'	-1.65	-2.7	-0.6	'1'	'2'	"Esse si ritirarono subito dopo, lo ""Yugiri"" trainando lo ""Shirakumo"" rimasto senza energia motrice."	Ship	49		
298	296963	'5'	-0.15	1.3	-1.6	'5'	'1'	A partire dal 1944 la nave fu utilizzata nel Pacifico per scortare le portaerei.	Ship	49		
299	297409	'5'	0.35	1.3	-0.6	'5'	'2'	La nave fu infine smantellata nei cantieri Breda di Venezia nel 1923 o 1924 .	Ship	49		
300	297634	'3'	-0.65	-0.7	-0.6	'3'	'2'	"Dopo aver raggiunto Malta l 11 settembre, la nave venne internata ad Alessandria d Egitto."	Ship	49		
301	304880	'5'	0.35	1.3	-0.6	'5'	'2'	"Conclusa la carriera di calciatore, ha intrapreso quella di allenatore nelle categorie dilettantistiche lombarde."	SoccerPlayer	50		
302	305457	'5'	-0.15	1.3	-1.6	'5'	'1'	Questa pagina raccoglie i dati riguardanti il Vålerenga Fotball nelle competizioni ufficiali della stagione 1999.	SoccerPlayer	50		
303	300996	'1'	-1.65	-2.7	-0.6	'1'	'2'	"Tornato in Inghilterra, Musgrove diviene dal 1981 al 1984 l allenatore dell Exeter City."	SoccerPlayer	50		
304	301955	'4'	0.35	0.3	0.4	'4'	'3'	"Giocò con il Castilla, la squadra filiale del Real Madrid, dal 1974 al 1980."	SoccerPlayer	50		
305	302671	'3'	0.35	-0.7	1.4	'3'	'4'	"Viene convocato per gli Europei 2016 in Francia, in sostituzione dell infortunato Alan Dzagoev."	SoccerPlayer	50		
306	303510	'5'	0.35	1.3	-0.6	'5'	'2'	Poi Giuseppe Viani lo fa esordire in Serie A il 20 marzo 1960 in Udinese-Milan .	SoccerPlayer	50		
307	301080	'5'	0.35	1.3	-0.6	'5'	'2'	"Tentò così l esperienza in Europa, ma non superò un provino sostenuto con il Sunderland."	SoccerPlayer	50	1	ExSoccerPlayers?
308	309335	'4'	-0.15	0.3	-0.6	'4'	'2'	MariaDB si compila sia su processori a 32 bit sia su processori a 64.		51		
309	310422	'3'	0.35	-0.7	1.4	'3'	'4'	Questo sistema di plug-in è alla base di tutti i moderni software del genere.		51		
310	307370	'2'	0.35	-1.7	2.4	'2'	'5'	MTRG fa uso del protocollo SNMP per inviare due identificatori di oggetto a un dispositivo.		51		
311	309124	'5'	0.85	1.3	0.4	'5'	'3'	Varie librerie sono state costruite sopra OpenGL per fornire funzionalità non disponibili in OpenGL stesso:		51		
312	308313	'3'	-0.65	-0.7	-0.6	'3'	'2'	"Se dovessero sorgere problemi, VirtualBox ha un ricompilatore dinamico, come gli altri software di virtualizzazione."		51		
313	311874	'2'	-0.65	-1.7	0.4	'2'	'3'	Il motore di Nessus 2 e una piccola quantità di plugin sono ancora GPL.		51		
314	313573	'4'	-0.15	0.3	-0.6	'4'	'2'	"In virtù di questo fatto, la canzone viene chiamata abitualmente ""Sappy"" per evitare confusione."	Song	52		
315	316656	'2'	0.35	-1.7	2.4	'2'	'5'	"Come lato B, il brano è arrivato alla 53a posizione di ""Billboard Hot 100""."	Song	52		
316	312983	'5'	0.35	1.3	-0.6	'5'	'2'	"Elton si cimenta a raggiungere note abbastanza alte, in special modo durante il ritornello."	Song	52		
317	313679	'5'	0.85	1.3	0.4	'5'	'3'	Queste tornano poi udibili a partire dal minuto 4:37 fino alla chiusura del brano.	Song	52	-2	
318	319314	'2'	-0.15	-1.7	1.4	'2'	'4'	"La famiglia ricorda i ragni appartenenti a quella, tuttora esistente, dei ""Leptonetidae"" e degli ""Ochyroceratidae""."		53		
319	323775	'3'	-0.15	-0.7	0.4	'3'	'3'	"In particolare, il ""Darwinopterus robustidens"" sembra essere stato uno specialista nel cibarsi di coleotteri."		53		
320	321421	'5'	0.35	1.3	-0.6	'5'	'2'	Carollia castanea è un Pipistrello della famiglia dei Fillostomidi diffuso nell America centrale e meridionale.		53		
321	320690	'1'	-0.65	-2.7	1.4	'1'	'4'	"In Italia, la famiglia è rappresentata solo nel Nord, con la specie ""Cylindrotoma distinctissima""."		53		
322	322798	'3'	-0.65	-0.7	-0.6	'3'	'2'	"È possibile che condividesse l habitat con altri grossi artropodi nuotatori, come ""Isoxys"" e ""Zhenghecaris""."		53		
323	321016	'1'	-0.15	-2.7	2.4	'1'	'5'	"La pupa dectica è sempre definita anche exarata, ossia possiede appendici libere e distaccabili."		53		
324	325887	'3'	-0.65	-0.7	-0.6	'3'	'2'	"Nel corso degli anni fu modificata la struttura dello stadio, ampliando la capacità dello stadio."	Stadium	54		
325	328714	'5'	0.35	1.3	-0.6	'5'	'2'	"Dagli anni 1980, lo stadio ha ospitato per sei volte la nazionale calcistica italiana."	Stadium	54		
326	325253	'1'	-1.65	-2.7	-0.6	'1'	'2'	Nel 2014 lo stadio è stato ampliato in modo da contenere fino a spettatori.	Stadium	54		
327	328158	'3'	-0.15	-0.7	0.4	'3'	'3'	Lo stadio ospita anche gli incontri della Nazionale di rugby a 15 della Svizzera.	Stadium	54		
328	324650	'4'	-0.15	0.3	-0.6	'4'	'2'	"Lo Estadio Ruta de la Plata è uno Stadio situato a Zamora, in Spagna."	Stadium	54		
329	324737	'4'	-0.15	0.3	-0.6	'4'	'2'	Al suo interno nel 2004 è stato aperto un museo dedicato alla storia dell Amburgo.	Stadium	54		
330	328110	'4'	0.35	0.3	0.4	'4'	'3'	Sarebbe il terzo campo dopo l Estadio La Cabañera e lo Stadio San Jorge.	Stadium	54	1	
331	332607	'5'	-0.15	1.3	-1.6	'5'	'1'	"La divisa casalinga era completamente rossa, a strisce verticali nere, pantaloncini neri e calzettoni rossoneri."	SportsTeam	55		
332	332398	'5'	-0.15	1.3	-1.6	'5'	'1'	Questa voce raccoglie le informazioni riguardanti la Pallavolo Chieri nelle competizioni ufficiali della stagione 2003-2004.	SportsTeam	55		
333	334176	'5'	-0.15	1.3	-1.6	'5'	'1'	"La divisa casalinga era costituita da una maglietta a strisce rossonere, pantaloncini e calzettoni neri."	SportsTeam	55		
334	331027	'4'	-0.15	0.3	-0.6	'4'	'2'	Questa voce raccoglie le informazioni riguardanti il FC Tokyo nelle competizioni ufficiali della stagione 2008.	SportsTeam	55		
335	334526	'5'	0.35	1.3	-0.6	'5'	'2'	Questa voce raccoglie le informazioni riguardanti il Sorrento nelle competizioni ufficiali della stagione 1980-1981.	SportsTeam	55	-1	
336	340722	'3'	0.35	-0.7	1.4	'3'	'4'	"Tuttavia i Rybaxel perderanno di nuovo contro i loro avversari, Cody Rhodes e Goldust."		56		
337	339288	'3'	-0.15	-0.7	0.4	'3'	'3'	"Lo Shield ha quindi cominciato ad attaccare Kane, salvo ritirarsi quando gli Usos sono intervenuti."		56		
338	338008	'4'	0.85	0.3	1.4	'4'	'4'	Il Comitato Olimpico Capoverdiano venne creato nel 1989 e riconosciuto dal CIO nel 1993.		56		
339	339192	'5'	0.85	1.3	0.4	'5'	'3'	"Portabandiera alla cerimonia d apertura è stata la trentottenne Valentyna Ševčenko, alla sua quinta Olimpiade."		56		
340	337801	'1'	-1.15	-2.7	0.4	'1'	'3'	"Anche se era ovviamente per attaccare la Kru, Konnan ha rifiutato la fiducia di Kip."		56		
341	337903	'2'	-0.65	-1.7	0.4	'2'	'3'	Segue la rosa delle giocatrici convocate per i XVII Giochi i piccoli stati d Europa.		56		
342	343025	'5'	0.85	1.3	0.4	'5'	'3'	Nel luglio 2006 ha reso pubblico il suo fidanzamento con la cantante australiana Candice Alley.	Swimmer	57		
343	344851	'2'	-0.65	-1.7	0.4	'2'	'3'	"Nei 50 m stile libero invece non riuscirà a raggiungere la finale, nuotando in 25""02."	Swimmer	57		
344	342832	[]	1.4		1.4	[]	'4'	Dati aggiornati alla conclusione dei Campionati europei di nuoto in vasca corta 2009 di Istanbul.	Swimmer	57		
345	347017	'5'	0.85	1.3	0.4	'5'	'3'	"Durante la manifestazione prese parte anche alle finali dei 200,400 e 800 m sl."	Swimmer	57		
346	347444	'4'	0.35	0.3	0.4	'4'	'3'	Specializzato nella farfalla ha partecipato alle Olimpiadi di Atlanta 1996 e di Sydney 2004.	Swimmer	57		
347	342144	'4'	0.35	0.3	0.4	'4'	'3'	Alle Olimpiadi di Atene nel 2004 è arrivato settimo nella finale dei 200 m farfalla.	Swimmer	57		
348	345166	'3'	-1.15	-0.7	-1.6	'3'	'1'	Ha gareggiato nel 100 metri dorso maschile e a pallanuoto alle Olimpiadi estive 1948.	Swimmer	57	1	
349	349483	'5'	0.35	1.3	-0.6	'5'	'2'	"In Italia è stata trasmessa dal 1981 su reti locali con il titolo ""Koseidon""."		58		
350	350281	'3'	-0.15	-0.7	0.4	'3'	'3'	"È una sitcom a sfondo drammatico incentrata sulle vicende dei Drombusch, una famiglia di Darmstadt."		58		
351	353168	'3'	0.35	-0.7	1.4	'3'	'4'	"Prikoly na peremenke è una serie televisiva russa, adattamento dell italiana ""Quelli dell intervallo""."		58		
352	349018	'4'	0.35	0.3	0.4	'4'	'3'	"James Poniewozik sul ""TIME"" la definì «splendidamente realizzata» e meglio focalizzata rispetto alla prima stagione."		58		
353	348235	'5'	0.35	1.3	-0.6	'5'	'2'	"La serie è ambientata in Sicilia, ma è stata quasi interamente girata in Puglia."		58		
