original_order,ids,cluster_type,sentences
539,141276,c2d,"Nonostante fosse grandemente depotenziato, Conner combatté coraggiosamente e riuscì a difendersi per qualche tempo."
421,32942,c2d,In carriera si è laureata campionessa mondiale outdoor ed europea indoor dei 1500 metri piani.
416,26562,c2d,Come nell'altra opera però anche qui il panneggio appare pesante e quasi schiacciante.
751,363042,c2d,"In carriera si è aggiudicata 11 tornei WTA in singolare, quasi tutti sulla terra rossa."
553,157009,c2d,Con la Repubblica Ceca Straka vinse anche il campionato mondiale del 2005 giocato in Austria.
672,282504,c2d,La strada statale 106 var/C Variante di Nova Siri è una strada statale italiana.
576,190211,c2d,"Fu giustiziato per impiccagione il 13 settembre 1946 a Cracovia, vicino al campo di Płaszów."
548,153879,c2d,Il gioco venne commercializzato a partire dal 1935 da una nuova casa editrice Editrice Giochi.
754,375223,c2d,Come sempre spetta agli eroi l'ingrato compito di affrontare i mostri e sconfiggerli.
605,217321,c2d,In un documento del 1062 è citata per la prima volta la Petra de Bismanto.
762,382285,c2d,"Nel campionato 2011-12 gioca invece in Francia, prendendo parte alla Ligue A col Béziers Volley."
517,131223,c2d,"Le Zampe devono essere rotonde e con dita corte, forti, ben arcuate e ben serrate."
759,375194,c2d,La professoressa chiede alla ragazza di andare a cercare Ira che è scomparsa nel nulla.
473,98853,c2d,"Fu vinta dal britannico Peter Kennaugh, al traguardo con il tempo di 4h04m59s."
429,47998,c2d,Prima di lui nei Celtics in gara-7 dei play-off c'era riuscito solo Larry Bird.
653,266317,c2d,La stazione è costituita da 2 binari passanti in superficie con due marciapiedi laterali.
650,269908,c2d,La stazione di Due Maestà era una fermata ferroviaria posta sulla linea Reggio Emilia-Sassuolo.
469,101751,c2d,"HC, si svolse il 4 aprile 2009 su un percorso totale di circa 191,4 km."
702,326933,c2d,"Grazie alla sua capacità di 150.000 posti, è lo stadio più grande del mondo."
750,362550,c2d,"Al successivo Roma Open arriva ai quarti di finale, dove viene sconfitto da Yannick Maden."
716,330104,c2d,Questa pagina raccoglie le informazioni riguardanti il Mestre Calcio nelle competizioni ufficiali della stagione 2000-2001.
690,309766,c2d,"Synthesia inizia il suo debutto nel 29 dicembre del 2006, con il nome Piano Hero."
723,340719,c2d,La nazionale australiana si è qualificata per i Giochi vincendo il campionato mondiale del 2006.
487,104327,c2d,Corse per la Valante nel 1904 e come individuale tra il 1905 ed il 1913.
729,339192,c2d,"Portabandiera alla cerimonia d apertura è stata la trentottenne Valentyna Ševčenko, alla sua quinta Olimpiade."
423,35300,c2d,Sul finire della stagione partecipò alla IAAF Grand Prix Final svoltasi questa volta a Milano.
656,271488,c2d,"Dopo la nuova occupazione musulmana, tornò ad essere cattedrale nel 1227, con l'intitolazione attuale."
489,111485,c2d,"La medaglia della Corona del Re Zvonimiro aveva tre gradi argento, bronzo e ferro."
659,280875,c2d,"La Tanlova è un fiume della Russia siberiana nordoccidentale, affluente di destra del Nadym."
578,190612,c2d,Dopo la fine delle guerre di liberazione fu inviato in molte missioni diplomatiche all'estero.
684,306097,c2d,È stato scritto nel linguaggio di programmazione Processing ed è distribuito sotto licenza GNU GPL.
586,201966,c2d,"La langite è un minerale, solfato basico e idrato di rame appartenente al gruppo omonimo."
599,212005,c2d,"Al termine della gara disputata su una Kawasaki, si è classificato in 11a posizione."
427,40127,c2d,"Il logo Fiat anteriore viene ridotto di un buon 30%, risultando dunque più piccolo."
572,178663,c2d,"Milo è una stazione sotterranea della metropolitana di Catania, nel tratto tra Borgo e Nesima."
642,252410,c2d,Il lago si trova all'interno della riserva naturale dei Laghi di Doberdò e Pietrarossa.
760,382764,c2d,Sono state però le stagioni 1978-79 e 1979-80 quelle della definitiva esplosione di Giulio Belletti.
631,241723,c2d,"Successivamente, i rilevanti costi di gestione impongono il termine dell'esperimento a fine luglio."
714,332264,c2d,La stagione 2015-2016 dei Boston Celtics fu la 70a nella NBA per la franchigia.
530,132206,c2d,In Nuova Zelanda e in Finlandia esiste un programma scolastico ed universitario per sordi.
628,236532,c2d,"Sembra che l'origine del bolero si debba ricercare nella contradanza, ballo del Settecento."
727,340182,c2d,"Il Comitato Olimpico del Qatar, creato nel 1979, venne riconosciuto dal CIO nel 1980."
461,89210,c2d,"Alcuni possono essere programmati con un computer per eseguire procedure complesse, i LEGO Mindstorms."
699,320685,c2d,"Le parti superiori variano dal giallo-grigiastro al color ocra, mentre quelle ventrali sono bianche."
547,152501,c2d,"Rappresentate da carte di forma quadrata, si distinguono in Fanteria, Artiglieria, Cavalleria e Aerei."
438,60280,c2d,"Si formò presso l'università di Padova, di cui in seguito fu anche Riformatore."
405,21221,c2d,La sua prima stagione si chiuse con 8 ricezioni per 98 yard in 12 presenze.
626,239508,c2d,"In alcuni sottogeneri dell hip hop, un rapping a battiti lenti è spesso ritenuto fondamentale."
396,6273,c2d,Negli anni novanta l'Aeradria strinse accordi con la vicina Repubblica di San Marino.
490,110903,c2d,Questa medaglia è stata conferita anche ad alcuni membri delle forze piemontesi e francesi alleate.
430,53064,c2d,Ayesha invita i suoi ospiti ad un ballo organizzato in loro onore la sera stessa.
493,108948,c2d,L'ordine disponeva di una serie di ben 18 classi di benemerenza così ripartite
676,292766,c2d,Il ritrovamento del corpo calmò gli ardenti bollori e mise fine alla Guerra dell'Anello.
567,174370,c2d,"Avenue U è una fermata della metropolitana di New York, situata sulla linea BMT Brighton."
554,159721,c2d,Louis Blues ma giocò per diversi mesi in AHL nel farm team dei Providence Reds.
724,336392,c2d,"Il Comitato Olimpico e Sportivo Ciadiano, creato nel 1963, venne riconosciuto dal CIO nel 1964."
611,221736,c2d,"Dopo la Grande Guerra, l'alpinismo si avvia all'epoca eroica del sesto grado."
406,22950,c2d,"Nella successiva fece registrare 9 tackle in 11 presenze, nessuna delle quali come titolare."
618,230299,c2d,Nello stesso anno si esibiscono come pop rock band alla Casa Verdi di Milano.
737,344826,c2d,"Nata a Kaunas il 19 marzo 1997, è figlia di Saulius Meilutis e Ingrida Meilutienė."
407,21220,c2d,Stafford fu scelto nel corso del settimo giro del Draft 2013 dai Tennessee Titans.
524,131828,c2d,"Con pelo raso intorno, sono preferibilmente scuri, tondeggianti, di media grandezza, con taglio orizzontale."
496,119815,c2d,"Sede arcivescovile è la città di Besançon, dove si trova la cattedrale di San Giovanni."
403,22228,c2d,Ellington fu scelto nel corso del sesto giro del Draft 2013 dagli Arizona Cardinals.
648,266458,c2d,La stazione di Gela Anic'è una fermata ferroviaria posta sulla linea Caltanissetta Xirbi-Gela-Siracusa.
721,340711,c2d,"Il Comitato Olimpico Monegasco, fondato nel 1907, è stato ammesso al CIO nel 1953."
711,332504,c2d,Questa voce raccoglie le informazioni riguardanti l'Ischia Isolaverde nelle competizioni ufficiali della stagione 1992-1993.
697,322857,c2d,"Essendo molto nutriente, l'avena integrale è ideale nelle convalescenze e durante l'allattamento."
601,212188,c2d,Nel 1987 il miglior risultato è un settimo posto nel gran premio di Monza.
428,36302,c2d,La Le Mans è una autovettura sportiva prodotta dalla Aston Martin dal 1932 al 1933.
498,119568,c2d,L 11 dicembre dello stesso anno ha assunto il nome attuale di diocesi di Ekiti.
579,192903,c2d,Con il 2o Reggimento genio guastatori alpino è uno dei due reggimenti guastatori alpini.
700,319568,c2d,La struttura interna della tribù non è ancora definita in modo univoco e sicuro.
609,218162,c2d,La sola eruzione della quale si abbia notizia in epoca storica avvenne nel 1961.
738,344717,c2d,Ha vinto una medaglia d argento Nazionale Under 20 ai Mondiali di Almaty nel 2015.
444,67619,c2d,"Psi6 Aurigae è una stella gigante arancione di magnitudine 5,22 situata nella costellazione dell'Auriga."
612,227062,c2d,"Il Museo Doria nasce da un idea e sotto gli auspici, specialmente finanziari, del fondatore."
763,381773,c2d,La carriera di Sonja Newcombe inizia nel'a livello giovanile col Laguna Beach Volleyball Club.
668,286741,c2d,La route nationale 77 in Francia è una strada che collega Auxerre a Troyes.
675,288350,c2d,"Ciò spinse Gelasio II ad andare ancora una volta in esilio, questa volta a Benevento."
732,340114,c2d,La nazionale australiana si è qualificata per i Giochi vincendo il campionato oceaniano del 2007.
582,200544,c2d,"Il minerale è stato trovato nella pegmatite di Skogböle, nella regione di Kimito in Finlandia."
673,286548,c2d,La strada provinciale 23 della Principessa è una strada extraurbana nella provincia di Livorno.
474,100164,c2d,"I maggiori favoriti della corsa, soprattutto velocisti puri, sono di fatto esclusi dalla vittoria finale."
432,57044,c2d,quattro grandi e a sei più piccoli e furono realizzati senza riferimenti a Versailles.
636,246495,c2d,"Sposò, il 22 gennaio 1614, Ana Enríquez de Cabrera, figlia di Luis Enríquez de Cabrera."
441,63302,c2d,Il 14 dicembre 1959 fu promosso arcivescovo titolare di Emesa e arcivescovo coadiutore di Reims.
434,59990,c2d,"Dopo gli anni del conflitto, il casinò riapri ufficialmente la sera del 31 dicembre 1945."
426,39742,c2d,Il freno a mano era del tipo meccanico ed agiva sulle sole ruote posteriori.
603,215113,c2d,Il suo posto viene preso dall'australiano Troy Bayliss proveniente dal campionato AMA Superbike.
592,204598,c2d,"Il re morì il 31 luglio 1750, dopo più di quaranta anni di governo."
741,350689,c2d,Per esempio spesso nella quinta stagione Phoebe insultava Cole chiamandolo malefico figlio di puttana.
677,299963,c2d,Nel marzo 1918 assunse il comando del sommergibile il tenente di vascello Mario Viotti.
722,341195,c2d,"Il Consiglio Olimpico della Malesia, creato nel 1953, venne riconosciuto dal CIO nel 1954."
644,262116,c2d,La squalifica di Prost gli permise comunque di ottenere il primo punto dell'anno.
515,121456,c2d,La fibrosi cistica rappresenta la prima patologia genetica chiarita rigorosamente dal processo di genetica inversa.
424,36704,c2d,Rispetto alla berlina a 2 porte si differenziava esteticamente per l'assenza del montante centrale.
561,168213,c2d,"È inoltre ufficiale, a livello regionale o comunale, in alcune aree di Croazia e Slovenia."
477,100177,c2d,"Fu vinta dal britannico Adam Blythe, al traguardo con il tempo di 4h16m50s."
736,344217,c2d,"Specializzato nel dorso, ha vinto tre medaglie d oro ai mondiali in vasca corta."
448,69876,c2d,"HD 72752 è una stella gigante arancione di magnitudine 6,5 situata nella costellazione delle Vele."
435,60597,c2d,Il 19 gennaio 1347 fu eletto da suo cugino papa Clemente VI arcivescovo di Saragozza.
630,239906,c2d,"Tra questi, ci sono i Subway to Sally, i Morgenstern e i Letzte Instanz."
386,2757,c2d,Così per una seconda volta Salvesen rallentò il suo apparecchio segnalando al caccia di allontanarsi.
436,65998,c2d,Optò quindi per il titolo della Santissima Trinità al Monte Pincio dal 21 luglio 1653.
